prompt,expected_completion,actual_completion,similarity_score
What’s the best routine for training chest and triceps?,"Combine bench press, incline dumbbell press, cable flys for chest and dips, rope pushdowns, skull crushers for triceps.","Train chest and triceps together on the same day. A good routine includes bench press, incline dumbbell press, chest flies, and tricep dips.",0.471
Give me a warm-up before workout,"Start with 5 minutes light cardio, dynamic stretches (leg swings, hip circles), and activation like glute bridges or squats.","Start with 5 minutes of light cardio (jumping jacks, brisk walking). Do dynamic stretches like leg swings, arm circles, and hip circles.",0.592
Which muscles are trained during squats?,"Squats mainly target quads, glutes, hamstrings, and also engage the core and lower back stabilizers.","Squats work the quads, hamstrings, glutes, and calves. They also engage the core for stability.",0.677
List exercises for shoulders,"Overhead press, lateral raise, front raise, reverse flys, and upright row target deltoids.","Effective shoulder exercises include overhead press, lateral raises, front raises, and reverse flys.",0.589
What are compound exercises?,"Compound exercises like squats, deadlifts, bench press, and pull-ups engage multiple muscle groups and joints.","Compound exercises work multiple muscles. Include squats, deadlifts, bench press, pull-ups, and overhead press.",0.643
Can I train arms and back on the same day?,"Yes, it's effective. Back and biceps are pulling muscles and work well together. Include rows and curls.","Yes, you can train arms and back together. They target different muscle groups, so you can effectively train them on the same day.",0.333
Which muscles does deadlift target?,"Deadlifts target glutes, hamstrings, lower back, traps, and core muscles.","Deadlifts target back, glutes, hamstrings, and core muscles like abs and obliques.",0.697
How often should I train legs?,Train legs 1–2 times per week with at least 48 hours of recovery between sessions.,"Train legs 1-2 times per week, allowing 48 hours of rest between sessions.",0.821
What’s a good ab workout routine?,"Do planks, leg raises, bicycle crunches, and toe touches for a full ab routine. 3 sets of 15 reps each.","A great ab workout includes planks, hanging leg raises, Russian twists, and crunches.",0.351
How many sets and reps should I do?,"For muscle growth, do 3–4 sets of 8–12 reps per exercise with challenging weights.",3-4 sets of 8-12 reps are ideal for muscle growth.,0.258
